"T","B0","B1","B2","B3","B4","S0","S1","S2","S3","S4","M0","M1","M2","M3","M4","L0","L1","L2","L3","L4","S0_p","S1_p","S2_p","S3_p","S4_p","M0_p","M1_p","M2_p","M3_p","M4_p","L0_p","L1_p","L2_p","L3_p","L4_p","S0_pp","S1_pp","S2_pp","S3_pp","S4_pp","M0_pp","M1_pp","M2_pp","M3_pp","M4_pp","L0_pp","L1_pp","L2_pp","L3_pp","L4_pp","Glu_Trigger","Glutamate_level","CaGlu","S831_P","S831_PP","S831_u","S845_P","S845_PP","S845_u","S818_u","S818_p","S818_pp","I1_P","I1_u","PKA_a","PKA_i","Conductance_S845_measure","Conductance_S831_measure","Slots","Synaptic_12","Synaptic_23","Synaptic_receptors","PP2B","Calcium_Levels","R2C2_total","cAMP_levels","Active_CaM","Phos_CK_subunits","Phos_CK_hexamers","Free_PP","CaM_CaMKII_C4","CaMKII_CaM","CaM_CaMKII_all","GRIP_level","PICK1_level","actPKC_level","PKC_membrane","PKC_endo","PKC_PICK1","PKC_PICK1_AMPAR","PKC_AMPAR","AMPA_S880_membrane","AMPA_Y876_membrane","AMPA_PSD","AMPA_mPSD","AMPA_mX","AMPA_mEZ","AMPA_X","AMPA_EZ","AMPA_endo","AMPA_membrane","AMPA_mobile","K868","K868_ub","K868_ub2","K868_ub3","K868_ub4","K868_ub5","12K870_ub","12K870_ub2","12K870_ub3","12K870_ub4","12K870_ub5","23K870_ub","23K870_ub2","23K870_ub3","23K870_ub4","23K870_ub5","12K882_ub","12K882_ub2","12K882_ub3","12K882_ub4","12K882_ub5","23K882_ub","23K882_ub2","23K882_ub3","23K882_ub4","23K882_ub5","AMPAR1","AMPAR12","AMPAR23","Gap","Pulse_Number","Pulse_Numberb","Pulse_Numberc","Pulse","Gapb","Pulseb","Gapc","Pulsec"
0.,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,1,0,11,0,0,12,12,0,0,0,108,0,0,12.,37,12,12,1,13,0,5,30,0,8,24,0,107,8,499,499,13,23,3,3,0,3,0,0,0,16,12,0,0,0,9,0,42,21,0,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,16,1,0,0,0,1,0,0,0,0
1.,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,1,0,11,0,0,12,12,0,0,0,108,0,0,12.,37,12,12,1,13,0,3,30,1,10,24,0,105,10,515,515,43,33,4,4,0,4,0,0,0,10,12,1,0,0,9,0,42,21,1,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,16,1,0,0,0,0,0,0,0,0
2.,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,1,0,11,0,0,12,12,0,0,0,108,0,0,12.,37,12,12,1,13,0,4,30,1,10,24,0,106,9,529,529,44,35,2,2,0,2,0,0,0,13,12,0,1,0,9,0,42,21,1,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,16,0,0,0,0,1,0,0,0,0
3.,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0,0,12,0,0,12,12,0,0,0,108,0,0,12.,36,12,12,1,13,0,9,30,4,14,24,0,106,14,555,555,42,31,3,3,0,2,0,0,0,13,12,1,0,0,9,0,42,21,1,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,16,0,0,0,0,0,0,0,0,0
4.,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0,0,12,0,0,12,12,0,0,0,108,0,0,12.,36,12,12,1,13,1,6,30,9,21,25,0,108,20,576,576,41,33,5,5,0,4,0,0,0,11,12,1,1,0,9,0,42,21,2,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,16,0,0,0,0,0,0,0,0,0
5.,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0,0,12,0,0,12,12,0,0,0,108,0,0,12.,36,12,12,1,13,1,3,30,5,24,27,0,108,24,617,617,45,29,8,8,0,8,0,0,0,14,12,2,0,0,9,0,42,21,2,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,16,1,0,0,0,0,0,0,0,0
6.,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0,0,12,0,0,12,12,0,0,0,108,0,0,12.,36,12,12,1,13,1,8,30,5,21,29,0,108,21,657,657,45,30,9,9,0,9,0,0,0,10,12,2,1,0,9,0,42,21,3,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,16,1,0,0,0,0,0,0,0,0
7.,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0,0,12,0,0,12,12,0,0,0,108,0,0,12.,36,12,12,1,13,0,3,30,10,17,31,0,108,17,685,685,46,33,7,7,0,5,0,0,0,7,12,1,0,0,9,0,42,21,1,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,16,1,0,0,0,0,0,0,0,0
8.,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0,0,12,0,0,12,12,0,0,0,108,0,0,12.,36,12,12,1,13,2,7,30,8,20,31,0,107,20,704,704,47,30,9,9,0,7,0,0,0,8,12,3,2,0,9,0,42,21,5,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,16,1,0,0,0,0,0,0,0,0
9.,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0,0,12,0,0,12,12,0,0,0,108,0,0,12.,36,12,12,1,13,0,7,30,8,19,31,0,106,18,731,731,44,31,6,6,0,3,0,0,0,8,12,2,0,0,9,0,42,21,2,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,16,1,0,0,0,0,0,0,0,0
